start_date,end_date,value,device
2016-10-12 21:45:00+01:00,2016-10-13 05:00:20+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-13 21:45:00+01:00,2016-10-14 05:11:52+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-14 05:12:04+01:00,2016-10-14 05:12:36+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-14 05:18:16+01:00,2016-10-14 05:18:21+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-16 21:47:32+01:00,2016-10-17 05:00:08+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-17 23:06:04+01:00,2016-10-18 05:12:20+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-18 05:19:52+01:00,2016-10-18 05:28:04+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-24 00:45:49+01:00,2016-10-24 05:00:13+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-24 22:18:56+01:00,2016-10-25 05:00:16+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-25 22:09:24+01:00,2016-10-26 01:41:48+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-26 01:42:20+01:00,2016-10-26 04:48:44+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-26 04:51:16+01:00,2016-10-26 04:55:01+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-26 23:55:32+01:00,2016-10-27 03:07:16+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-27 03:10:20+01:00,2016-10-27 03:19:16+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-27 03:19:36+01:00,2016-10-27 03:28:52+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-27 03:29:04+01:00,2016-10-27 04:46:12+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-27 04:46:32+01:00,2016-10-27 04:52:28+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-27 04:54:28+01:00,2016-10-27 05:00:05+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-27 22:08:56+01:00,2016-10-28 02:15:56+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-28 02:16:52+01:00,2016-10-28 03:34:16+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-28 03:34:52+01:00,2016-10-28 04:03:28+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-28 04:03:44+01:00,2016-10-28 04:07:40+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-28 04:08:08+01:00,2016-10-28 05:00:48+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-30 23:16:00+01:00,2016-10-31 04:36:04+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-31 04:36:20+01:00,2016-10-31 05:34:24+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-31 05:34:32+01:00,2016-10-31 06:00:19+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-31 23:45:00+01:00,2016-11-01 01:52:56+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-01 01:53:00+01:00,2016-11-01 01:54:24+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-01 01:54:36+01:00,2016-11-01 05:45:12+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-01 05:45:32+01:00,2016-11-01 05:51:16+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-06 23:02:12+01:00,2016-11-07 05:47:56+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-07 05:51:04+01:00,2016-11-07 05:55:20+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-07 23:45:20+01:00,2016-11-08 05:01:48+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-08 05:02:28+01:00,2016-11-08 06:09:09+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-08 22:18:52+01:00,2016-11-09 01:25:04+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-09 01:26:16+01:00,2016-11-09 05:15:14+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-09 23:00:00+01:00,2016-11-10 06:00:20+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-10 23:53:44+01:00,2016-11-11 03:32:48+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-11 03:33:44+01:00,2016-11-11 03:43:44+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-11 03:43:56+01:00,2016-11-11 06:00:21+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-15 00:27:16+01:00,2016-11-15 05:35:00+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-15 05:37:12+01:00,2016-11-15 06:05:19+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-15 23:07:04+01:00,2016-11-16 03:57:52+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-16 03:58:44+01:00,2016-11-16 07:24:26+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-17 01:04:20+01:00,2016-11-17 06:30:56+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-17 06:31:08+01:00,2016-11-17 06:45:44+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-17 06:45:52+01:00,2016-11-17 06:46:24+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-17 06:50:00+01:00,2016-11-17 06:58:36+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-17 23:00:00+01:00,2016-11-18 06:15:07+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-20 23:17:48+01:00,2016-11-21 06:00:17+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-22 01:20:24+01:00,2016-11-22 06:00:54+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-22 23:09:52+01:00,2016-11-23 06:09:31+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-24 00:23:00+01:00,2016-11-24 06:00:11+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-24 23:32:52+01:00,2016-11-25 05:36:52+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-25 05:38:00+01:00,2016-11-25 06:10:20+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-25 06:10:24+01:00,2016-11-25 06:15:43+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-27 23:54:44+01:00,2016-11-28 06:15:19+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-28 23:00:00+01:00,2016-11-29 06:15:18+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-11-29 23:37:12+01:00,2016-11-30 06:15:24+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-12-04 23:28:44+01:00,2016-12-05 06:15:50+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-12-05 23:23:12+01:00,2016-12-06 06:15:18+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-12-07 00:18:12+01:00,2016-12-07 06:24:34+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-12-07 23:00:00+01:00,2016-12-08 00:34:24+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-12-08 00:36:40+01:00,2016-12-08 00:38:28+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-12-08 00:38:32+01:00,2016-12-08 06:15:14+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-12-08 23:26:20+01:00,2016-12-09 06:15:16+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-12-11 23:00:00+01:00,2016-12-12 00:41:44+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-12-12 00:42:08+01:00,2016-12-12 06:15:16+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-12-12 23:00:00+01:00,2016-12-13 06:00:31+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
